,Occurrence,Filière,Produit,Indicateur, Valeur 
0,2010,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête),2174.0
1,2010,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête),614.0
2,2010,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête),4030.0
3,2010,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête),1254.0
4,2010,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête),12651.0
5,2010,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête),4492.0
6,2011,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête),2248.0
7,2011,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête),701.0
8,2011,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête),4209.0
9,2011,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête),1395.0
10,2011,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête),13343.0
11,2011,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête),4872.0
12,2012,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête),2321.0
13,2012,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête),708.0
14,2012,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête),4209.0
15,2012,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête),1392.0
16,2012,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête),13518.0
17,2012,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête),4920.0
18,2013,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête),2400.0
19,2013,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête),773.0
20,2013,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête),4401.0
21,2013,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête),1469.0
22,2013,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête),13782.0
23,2013,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête),5197.0
24,2014,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête),2379.0
25,2014,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête),860.0
26,2014,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête),4516.0
27,2014,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête),1631.0
28,2014,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête),14207.0
29,2014,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête),5024.0
30,2015,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête),2441.0
31,2015,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête),850.0
32,2015,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête),4294.0
33,2015,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête),1937.0
34,2015,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête),13667.0
35,2015,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête),4843.0
36,2016,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête),2475.0
37,2016,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête),851.0
38,2016,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête),3954.0
39,2016,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête),1562.0
40,2016,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête),14119.0
41,2016,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête),5408.0
42,2017,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête),2504.0
43,2017,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête),860.0
44,2017,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête),4116.0
45,2017,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête),1626.0
46,2017,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête),14362.0
47,2017,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête),5502.0
48,2018,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête),2561.0
49,2018,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête),880.0
50,2018,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête),4109.0
51,2018,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête),1623.0
52,2018,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête),14374.0
53,2018,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête),5506.0
54,2019,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête),2499.0
55,2019,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête),839.0
56,2019,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête),4149.0
57,2019,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête),1844.0
58,2019,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête),14824.0
59,2019,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête),6768.0
60,2020,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête),2338.0
61,2020,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête),829.0
62,2020,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête),4171.0
63,2020,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête),1810.0
64,2020,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête),15015.0
65,2020,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête),7092.0
66,2021,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête),2348.0
