Occurrence,Filière,Produit,Indicateur, Valeur 
2010,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête)," 2,174 "
2010,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête), 614 
2010,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête)," 4,030 "
2010,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête)," 1,254 "
2010,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête)," 12,651 "
2010,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête)," 4,492 "
2011,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête)," 2,248 "
2011,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête), 701 
2011,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête)," 4,209 "
2011,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête)," 1,395 "
2011,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête)," 13,343 "
2011,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête)," 4,872 "
2012,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête)," 2,321 "
2012,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête), 708 
2012,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête)," 4,209 "
2012,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête)," 1,392 "
2012,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête)," 13,518 "
2012,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête)," 4,920 "
2013,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête)," 2,400 "
2013,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête), 773 
2013,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête)," 4,401 "
2013,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête)," 1,469 "
2013,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête)," 13,782 "
2013,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête)," 5,197 "
2014,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête)," 2,379 "
2014,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête), 860 
2014,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête)," 4,516 "
2014,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête)," 1,631 "
2014,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête)," 14,207 "
2014,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête)," 5,024 "
2015,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête)," 2,441 "
2015,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête), 850 
2015,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête)," 4,294 "
2015,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête)," 1,937 "
2015,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête)," 13,667 "
2015,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête)," 4,843 "
2016,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête)," 2,475 "
2016,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête), 851 
2016,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête)," 3,954 "
2016,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête)," 1,562 "
2016,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête)," 14,119 "
2016,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête)," 5,408 "
2017,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête)," 2,504 "
2017,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête), 860 
2017,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête)," 4,116 "
2017,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête)," 1,626 "
2017,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête)," 14,362 "
2017,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête)," 5,502 "
2018,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête)," 2,561 "
2018,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête), 880 
2018,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête)," 4,109 "
2018,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête)," 1,623 "
2018,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête)," 14,374 "
2018,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête)," 5,506 "
2019,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête)," 2,499 "
2019,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête), 839 
2019,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête)," 4,149 "
2019,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête)," 1,844 "
2019,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête)," 14,824 "
2019,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête)," 6,768 "
2020,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête)," 2,338 "
2020,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête), 829 
2020,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête)," 4,171 "
2020,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête)," 1,810 "
2020,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête)," 15,015 "
2020,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête)," 7,092 "
2021,Cheptel_Bovins,Bovins_Femelles,Effectif (1000 Tête)," 2,348 "
2021,Cheptel_Bovins,Bovins_Males,Effectif (1000 Tête), 831 
2021,Cheptel_Caprins,Caprins_Femelles,Effectif (1000 Tête)," 4,324 "
2021,Cheptel_Caprins,Caprins_Males,Effectif (1000 Tête)," 1,884 "
2021,Cheptel_Equins,Anes_Femelles,Effectif (1000 Tête), 507 
2021,Cheptel_Equins,Anes_Males,Effectif (1000 Tête), 384 
2021,Cheptel_Equins,Cheveaux_Femelles,Effectif (1000 Tête), 92 
2021,Cheptel_Equins,Cheveaux_Males,Effectif (1000 Tête), 82 
2021,Cheptel_Equins,Mulets,Effectif (1000 Tête), 382 
2021,Cheptel_Ovins,Ovins_Femelles,Effectif (1000 Tête)," 15,599 "
2021,Cheptel_Ovins,Ovins_Males,Effectif (1000 Tête)," 7,128 "
