Occurrence,Filière,Produit,Indicateur,  Valeur 
2010/2011,Agrumes,Autres agrumes,Production-T (Tonnes)," 2,538 "
2010/2011,Agrumes,Autres agrumes,Superficie (Ha), 489 
2010/2011,Agrumes,Citron,Production-T (Tonnes)," 93,177 "
2010/2011,Agrumes,Citron,Superficie (Ha)," 2,834 "
2010/2011,Agrumes,Orange_Autres,Production-T (Tonnes)," 25,952 "
2010/2011,Agrumes,Orange_Autres,Superficie (Ha)," 3,738 "
2010/2011,Agrumes,Orange_Maroc late,Production-T (Tonnes)," 414,549 "
2010/2011,Agrumes,Orange_Maroc late,Superficie (Ha)," 21,523 "
2010/2011,Agrumes,Orange_Navel,Production-T (Tonnes)," 300,867 "
2010/2011,Agrumes,Orange_Navel,Superficie (Ha)," 15,791 "
2010/2011,Agrumes,Orange_Navel lane late,Production-T (Tonnes)," 21,384 "
2010/2011,Agrumes,Orange_Navel lane late,Superficie (Ha)," 1,215 "
2010/2011,Agrumes,Orange_Navel late,Production-T (Tonnes)," 5,660 "
2010/2011,Agrumes,Orange_Navel late,Superficie (Ha), 407 
2010/2011,Agrumes,Orange_Navelina,Production-T (Tonnes), 667 
2010/2011,Agrumes,Orange_Navelina,Superficie (Ha), 38 
2010/2011,Agrumes,Orange_Salustiana,Production-T (Tonnes)," 33,260 "
2010/2011,Agrumes,Orange_Salustiana,Superficie (Ha)," 1,102 "
2010/2011,Agrumes,Orange_Washignton sanguine,Production-T (Tonnes)," 56,247 "
2010/2011,Agrumes,Orange_Washignton sanguine,Superficie (Ha)," 2,570 "
2010/2011,Agrumes,Pamplemousse,Production-T (Tonnes), 689 
2010/2011,Agrumes,Pamplemousse,Superficie (Ha), 54 
2010/2011,Agrumes,Petit fruit_Autres,Production-T (Tonnes)," 49,898 "
2010/2011,Agrumes,Petit fruit_Autres,Superficie (Ha)," 5,546 "
2010/2011,Agrumes,Petit fruit_Clémentine,Production-T (Tonnes)," 440,654 "
2010/2011,Agrumes,Petit fruit_Clémentine,Superficie (Ha)," 27,219 "
2010/2011,Agrumes,Petit fruit_Fortune,Production-T (Tonnes), 551 
2010/2011,Agrumes,Petit fruit_Fortune,Superficie (Ha), 29 
2010/2011,Agrumes,Petit fruit_Nador cott,Production-T (Tonnes)," 30,060 "
2010/2011,Agrumes,Petit fruit_Nador cott,Superficie (Ha)," 2,898 "
2010/2011,Agrumes,Petit fruit_Nour,Production-T (Tonnes)," 121,054 "
2010/2011,Agrumes,Petit fruit_Nour,Superficie (Ha)," 6,635 "
2010/2011,Agrumes,Petit fruit_Nova,Production-T (Tonnes)," 13,611 "
2010/2011,Agrumes,Petit fruit_Nova,Superficie (Ha), 814 
2010/2011,Agrumes,Petit fruit_Nules,Production-T (Tonnes)," 79,966 "
2010/2011,Agrumes,Petit fruit_Nules,Superficie (Ha)," 5,895 "
2010/2011,Agrumes,Petit fruit_Ortanique,Production-T (Tonnes)," 17,236 "
2010/2011,Agrumes,Petit fruit_Ortanique,Superficie (Ha), 710 
2010/2011,Amandiers,Amandier,Production-T (Tonnes)," 101,382 "
2010/2011,Amandiers,Amandier,Superficie (Ha)," 143,969 "
2010/2011,Céréales,Autres céréales,Production-T (Tonnes)," 2,740 "
2010/2011,Céréales,Autres céréales,Superficie (Ha)," 3,200 "
2010/2011,Céréales,Avoine,Production-T (Tonnes)," 36,765 "
2010/2011,Céréales,Avoine,Superficie (Ha)," 54,230 "
2010/2011,Céréales,Blé dur,Production-T (Tonnes)," 1,847,958 "
2010/2011,Céréales,Blé dur,Superficie (Ha)," 957,200 "
2010/2011,Céréales,Blé tendre,Production-T (Tonnes)," 4,169,865 "
2010/2011,Céréales,Blé tendre,Superficie (Ha)," 2,131,000 "
2010/2011,Céréales,Mais,Production-T (Tonnes)," 221,299 "
2010/2011,Céréales,Mais,Superficie (Ha)," 191,888 "
2010/2011,Céréales,Orge,Production-T (Tonnes)," 2,317,611 "
2010/2011,Céréales,Orge,Superficie (Ha)," 2,025,898 "
2010/2011,Céréales,Riz,Production-T (Tonnes)," 17,840 "
2010/2011,Céréales,Riz,Superficie (Ha)," 2,550 "
2010/2011,Céréales,Sorgho,Production-T (Tonnes)," 7,915 "
2010/2011,Céréales,Sorgho,Superficie (Ha)," 9,880 "
2010/2011,Fourragères,Avoine vert,Production-T (Tonnes)," 111,613 "
2010/2011,Fourragères,Avoine vert,Superficie (Ha)," 40,156 "
2010/2011,Fourragères,Bersim,Production-T (Tonnes)," 3,459,570 "
2010/2011,Fourragères,Bersim,Superficie (Ha)," 62,101 "
2010/2011,Fourragères,Lupin,Production-T (Tonnes)," 89,630 "
2010/2011,Fourragères,Lupin,Superficie (Ha)," 3,240 "
2010/2011,Fourragères,Luzerne,Production-T (Tonnes)," 5,562,554 "
2010/2011,Fourragères,Luzerne,Superficie (Ha)," 105,081 "
2010/2011,Fourragères,Mais fourrager,Production-T (Tonnes)," 1,484,196 "
2010/2011,Fourragères,Mais fourrager,Superficie (Ha)," 37,650 "
2010/2011,Fourragères,Mélange fourrager,Production-T (Tonnes)," 438,074 "
2010/2011,Fourragères,Mélange fourrager,Superficie (Ha)," 31,510 "
2010/2011,Fourragères,Orge fourrager,Production-T (Tonnes)," 1,844,154 "
2010/2011,Fourragères,Orge fourrager,Superficie (Ha)," 109,383 "
2010/2011,Fourragères,Pois fourrager,Production-T (Tonnes)," 75,800 "
2010/2011,Fourragères,Pois fourrager,Superficie (Ha)," 13,871 "
2010/2011,Fourragères,Sorgho fourrager,Production-T (Tonnes)," 357,200 "
2010/2011,Fourragères,Sorgho fourrager,Superficie (Ha)," 5,972 "
2010/2011,Fourragères,Triticale,Production-T (Tonnes)," 12,174 "
2010/2011,Fourragères,Triticale,Superficie (Ha)," 2,690 "
2010/2011,Fourragères,Vesce avoine,Production-T (Tonnes)," 275,661 "
2010/2011,Fourragères,Vesce avoine,Superficie (Ha)," 23,490 "
2010/2011,Industrielles,Cannabis,Superficie (Ha)," 97,000 "
2010/2011,Industrielles,Câprier,Production-T (Tonnes)," 19,490 "
2010/2011,Industrielles,Câprier,Superficie (Ha)," 21,581 "
2010/2011,Industrielles,Coriandre récoltée,Production-T (Tonnes)," 4,493 "
2010/2011,Industrielles,Coriandre récoltée,Superficie (Ha)," 3,520 "
